baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
CoSIL	CoSIL+MURAL	target_coverage	15.230245	12.319809	17.391432	NA	NA	NA
CoSIL	CoSIL+MURAL	hit	15.400000	12.775262	19.383372	77	0	1.32348898008e-23
CoSIL	CoSIL+MURAL	complete	13.600000	10.030313	15.560967	68	0	6.77626357803e-21
Agentless	Agentless+MURAL	target_coverage	22.405635	15.223518	25.041798	NA	NA	NA
Agentless	Agentless+MURAL	hit	23.200000	16.049383	27.365050	116	0	2.40741243048e-35
Agentless	Agentless+MURAL	complete	20.200000	13.126739	22.727273	101	0	7.88860905221e-31
LocAgent	LocAgent+MURAL	target_coverage	15.348442	10.210482	18.793193	NA	NA	NA
LocAgent	LocAgent+MURAL	hit	16.400000	12.127606	21.090047	82	0	4.13590306277e-25
LocAgent	LocAgent+MURAL	complete	13.400000	8.129875	16.107434	67	0	1.35525271561e-20
OrcaLoca	OrcaLoca+MURAL	target_coverage	26.450729	20.501348	30.568817	NA	NA	NA
OrcaLoca	OrcaLoca+MURAL	hit	28.400000	23.826540	36.207236	142	0	3.58732406867e-43
OrcaLoca	OrcaLoca+MURAL	complete	24.400000	17.924276	27.500088	122	0	3.76158192263e-37
