instance_id	variant	nonempty	patch_sha256	result_rows	dataset_source	problem_statement_tokens	first_prompt_profile	context_profile_version	response_prefill	max_retries	generation_extra_body	candidate_entity_count	candidate_file_count	candidate_class_scope_count	first_prompt_rendered_entity_count	first_prompt_source_entity_count	first_prompt_tokens	retry_count	final_status	applied_file_count
astropy__astropy-12907	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	322	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	1	4	3	2099	1	failed	0
astropy__astropy-13033	issue	1	8e526739b711d3623cfbc8e83194134955d7e4eaf1c100981b8d710d915162b2	1	temp_run/generated/SWE-bench_Verified.jsonl	681	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	2185	1	success	1
astropy__astropy-13236	issue	1	09d7ffd7152b1b3f9d5738717f351be3b2d1dc8c650c61c4ed7e2f8b4b3b245e	1	temp_run/generated/SWE-bench_Verified.jsonl	473	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	1	1	4	2	2214	0	success	1
astropy__astropy-13398	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	1211	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	0	2	2	2760	1	failed	0
astropy__astropy-13453	issue	1	a05c2ec0428277643b33009df1e53808f60df5ee63b1246958108f7572af2cd7	1	temp_run/generated/SWE-bench_Verified.jsonl	1197	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	3	4	5	4	3533	0	success	1
astropy__astropy-13579	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	1209	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	4	4	2	3016	1	failed	0
astropy__astropy-13977	issue	1	ff55bae5be78d8da557ef87e6335043f30db7ef8381a4095f69a34fdf575f416	1	temp_run/generated/SWE-bench_Verified.jsonl	899	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	2	0	3	3	2808	0	success	1
astropy__astropy-14096	issue	1	801876e869dcb46c9b5b6cfcb3056b9d7c7161c3dad0534132eec637ff3bd953	1	temp_run/generated/SWE-bench_Verified.jsonl	245	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1328	0	success	1
astropy__astropy-14182	issue	1	bb4b21b64a34c12b5b3ee27b6201b5ca46189149c57a11418908d4eaeae2b79b	1	temp_run/generated/SWE-bench_Verified.jsonl	515	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	3	5	7	4	2724	1	success	1
astropy__astropy-14309	issue	1	d5666f816d1dd48f65787d34927b309b2733d096fa15512d3c6dfae39033525b	1	temp_run/generated/SWE-bench_Verified.jsonl	1205	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	0	2	2	2462	0	success	1
astropy__astropy-14365	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	446	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	1	2	2	1908	1	failed	0
astropy__astropy-14369	issue	1	ce3079e6977e7b49ba2cf54193f6953f092c0cd0c0b5eac224e1f097cff75b96	1	temp_run/generated/SWE-bench_Verified.jsonl	679	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	1	4	3	2199	0	success	1
astropy__astropy-14508	issue	1	461ea95bd5506ff5092017e78c3e09eb6816e497d023b47ae4aa2f1c272e9670	1	temp_run/generated/SWE-bench_Verified.jsonl	757	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	1	1	5	2	2317	0	success	1
astropy__astropy-14539	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	445	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	1136	0	failed	0
astropy__astropy-14598	issue	1	ae4f0c53c77140a27618a188c996e3f93718e91ab8e393de51c0b6d346c0980e	1	temp_run/generated/SWE-bench_Verified.jsonl	747	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	5	1	0	5	2	2190	0	success	1
astropy__astropy-14995	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	732	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	3	1	0	3	2	2041	1	failed	0
astropy__astropy-7166	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	38	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	2	1	2	2	1832	1	failed	0
astropy__astropy-7336	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	388	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	1	1	1	1830	1	failed	0
astropy__astropy-7606	issue	1	c138e77599669ca0beab28ae6823aa2631a6a95110c9cebf5ce5103d57bc888e	1	temp_run/generated/SWE-bench_Verified.jsonl	281	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1191	1	success	1
astropy__astropy-7671	issue	1	9d6ab27c4cef7308461ff0a51c5a98781e9b692853613fd0120a2268676b7928	1	temp_run/generated/SWE-bench_Verified.jsonl	508	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1697	0	success	1
astropy__astropy-8707	issue	1	770fbe4f7ac823aeb21a25fb2cb85ed2c079046ca47972eacc7a83ae8e2172a0	1	temp_run/generated/SWE-bench_Verified.jsonl	197	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	0	4	3	1947	1	partial	1
astropy__astropy-8872	issue	1	1ac783129a3383103cf2471e0b5731d5b61eb0ee51d6b54f7db88b89ffbd1d16	1	temp_run/generated/SWE-bench_Verified.jsonl	291	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	2	1	0	2	2	1753	1	success	1
django__django-10097	issue	1	2da9888d73f68355593917785385cfd4194ad70df2a2eca2cb0d0d589aa70df9	1	temp_run/generated/SWE-bench_Verified.jsonl	563	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	1	1	1	1903	0	success	1
django__django-10554	issue	1	9cdc63d2aff19f291338708c4fd8329662479119b21fb6bd6c6c0655bafa87d1	1	temp_run/generated/SWE-bench_Verified.jsonl	821	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	10	3	0	10	4	3164	0	success	1
django__django-10880	issue	1	50f0a3e8cb752137cfbd365877a38ff14ed76bfdc38a4b62254b97a789c915a9	1	temp_run/generated/SWE-bench_Verified.jsonl	59	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	4	1	4	4	1900	0	success	1
django__django-10914	issue	0		1	temp_run/generated/SWE-bench_Verified.jsonl	216	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	8	4	8	8	4	2887	1	failed	0
django__django-10973	issue	1	1948686e958e3e3179de40b2b5191ac299f95caf4d9d1888bfed8bb96a0dab07	1	temp_run/generated/SWE-bench_Verified.jsonl	80	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	4	4	2	1638	1	success	1
django__django-10999	issue	1	bd61ed3020e5c7275f9e9b1f0eb7f1b8f32a7d40707915e027b66f590dcb442b	1	temp_run/generated/SWE-bench_Verified.jsonl	220	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	0	1	1	1236	0	success	1
django__django-11066	issue	1	92478704b2c28d70c92cd30fd027b12f328a470a6b8495dd3d87d8d49c8908a6	1	temp_run/generated/SWE-bench_Verified.jsonl	409	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	1	1	1	1	1	1561	0	success	1
django__django-11087	issue	1	184e1942a47d103d6dd66f3b874566648724ba326ae3d5ad7202aaed2de9f8dc	1	temp_run/generated/SWE-bench_Verified.jsonl	1212	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	7	3	0	7	4	3400	1	success	1
django__django-11095	issue	1	a76f371cf460b2c0ba0094c4b0db02e26f910d5b4e442f6757e988509ad46f21	1	temp_run/generated/SWE-bench_Verified.jsonl	89	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	1	0	4	2	1243	0	success	1
django__django-11099	issue	1	2db38bbb09dc12234b38bc3973585edd1f149f33761c5e34f56bf8238406d399	1	temp_run/generated/SWE-bench_Verified.jsonl	171	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	0	0	0	0	0	861	0	success	1
django__django-11119	issue	1	f4cd8539831a3a7bf11852f6c2bfafd9886b323b5857b5612017a9214b59c001	1	temp_run/generated/SWE-bench_Verified.jsonl	84	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	4	4	2	1938	0	success	1
django__django-11133	issue	1	870986ff525c285b266961b302232a2372948f91c1af346ee435ef34e56485a6	1	temp_run/generated/SWE-bench_Verified.jsonl	190	compact	rank_stratified_v3_allfiles	0	1	"{""enable_thinking"": false}"	4	2	1	4	3	2015	0	success	1
